series_code,series_name,measure_type,debt_value_usd,value_billions_usd
DT.NTR.PCBK.CD,"PPG, commercial banks (NTR, current US$)",other_debt_monetary,7146320000.0,7.14632
DT.NTR.PCBK.PS.CD,"PS, commercial banks (NTR, current US$)",other_debt_monetary,7128605000.0,7.128605
DT.INT.PCBK.OPS.CD,"OPS, commercial banks (INT, current US$)",other_debt_monetary,7061016021.9,7.0610160218999996
DT.INT.DIMF.CD,"IMF credit and SDR allocations, charges (INT, current US$)",imf_credit,6969908073.0,6.969908073
DT.DOD.PCBK.CB.CD,"CB, commercial banks (DOD, current US$)",other_debt_monetary,5815711928.6,5.815711928600001
DT.TDS.DECB.CD,"Debt service on external debt, central bank (PPG) (TDS, current US$)",debt_service,5797446315.099999,5.797446315099999
DT.DIS.DECB.CD,"Disbursements on external debt, central bank (PPG) (DIS, current US$)",disbursement,5679725171.2,5.679725171199999
DT.NTR.PCBK.OPS.CD,"OPS, commercial banks (NTR, current US$)",other_debt_monetary,5655381000.0,5.655381
DT.DSB.DPPG.CD,Debt buyback (current US$),other_debt_monetary,5004736136.0,5.004736136
DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)",other_debt_monetary,4692967946.0,4.692967946
DT.AMT.DECB.CD,"Principal repayments on external debt, central bank (PPG) (AMT, current US$)",principal_repayment,4358065685.4,4.3580656854
DT.TXR.DPPG.CD,Total amount of debt rescheduled (current US$),other_debt_monetary,4177584995.8,4.1775849958
DT.AXR.DPPG.CD,Principal rescheduled (current US$),other_debt_monetary,3912593711.4,3.9125937114
DT.INT.DIMF.US.CD,"IMF credit, charges (INT, current US$)",imf_credit,3874490183.2000003,3.8744901832000003
DT.NFL.PCBK.GG.CD,"GG, commercial banks (NFL, current US$)",other_debt_monetary,3670737000.0,3.670737
DT.INT.OFFT.OPS.CD,"OPS, official creditors (INT, current US$)",other_debt_monetary,3200051289.1,3.2000512890999997
DT.TDS.OFFT.CB.CD,"CB, official creditors (TDS, current US$)",other_debt_monetary,3102416978.1,3.1024169781
DT.DIS.OFFT.CB.CD,"CB, official creditors (DIS, current US$)",other_debt_monetary,2948383010.4,2.9483830104
DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",other_debt_monetary,2902673000.0,2.902673
DT.INT.PCBK.GG.CD,"GG, commercial banks (INT, current US$)",other_debt_monetary,2593455446.2000003,2.5934554462
DT.DIS.PCBK.CB.CD,"CB, commercial banks (DIS, current US$)",other_debt_monetary,2552069160.7,2.5520691607
DT.AXR.PRVT.CD,"Principal rescheduled, private (current US$)",other_debt_monetary,2503215673.8,2.5032156738
